"country","iso2c","id","membership","grouping"
"Austria","AT","AUT","SSM","Western Europe"
"Belgium","BE","BEL","SSM","Western Europe"
"Bulgaria","BG","BGR","EU Non-SSM","Southeastern/Balkan Europe"
"Switzerland","CH","CHE","EEA/Other","Western Europe"
"Cyprus","CY","CYP","SSM","Southeastern/Balkan Europe"
"Czech Republic","CZ","CZE","EU Non-SSM","Central and Eastern Europe"
"Germany","DE","DEU","SSM","Western Europe"
"Denmark","DK","DN1","EU Non-SSM","Nordic"
"Estonia","EE","EST","SSM","Baltic"
"Finland","FI","FI1","SSM","Nordic"
"France","FR","FR1","SSM","Western Europe"
"Spain","ES","ESP","SSM","Southern Europe"
"United Kingdom","GB","GB1","EU Non-SSM","Western Europe"
"Greece","GR","GRC","SSM","Southern Europe"
"Croatia","HR","HRV","EU Non-SSM","Southeastern/Balkan Europe"
"Hungary","HU","HUN","EU Non-SSM","Central and Eastern Europe"
"Iceland","IS","ISL","EEA/Other","Nordic"
"Ireland","IE","IRL","SSM","Western Europe"
"Italy","IT","ITA","SSM","Southern Europe"
"Latvia","LV","LVA","SSM","Baltic"
"Liechtenstein","LI","LIE","EEA/Other","Western Europe"
"Lithuania","LT","LTU","SSM","Baltic"
"Luxembourg","LU","LUX","SSM","Western Europe"
"Malta","MT","MLT","SSM","Southern Europe"
"Netherlands","NL","NL1","SSM","Western Europe"
"Norway","NO","NOR","EEA/Other","Nordic"
"Poland","PL","POL","EU Non-SSM","Central and Eastern Europe"
"Portugal","PT","PRT","SSM","Southern Europe"
"Romania","RO","ROU","EU Non-SSM","Central and Eastern Europe"
"Slovakia","SK","SVK","SSM","Central and Eastern Europe"
"Slovenia","SI","SVN","SSM","Southeastern/Balkan Europe"
"Sweden","SE","SWE","EU Non-SSM","Nordic"
"United States","US","USA","Non-Europe","Non-Europe"
"Japan","JP","JPN","Non-Europe","Non-Europe"
